"zip","med_inc","pop","party"
"01569",86164,13569,"Democratic"
"01570",47885,16767,"Democratic"
"01571",70590,11390,"Democratic"
"01581",100905,18272,"Democratic"
"01583",72107,7591,"Democratic"
"01585",62667,4554,"Democratic"
"01588",62649,9733,"Democratic"
"01590",110658,8875,"Democratic"
"01602",62832,22819,"Democratic"
"01603",48183,19916,"Democratic"
"01604",49797,34677,"Democratic"
"01605",37705,26221,"Democratic"
"01606",66912,19077,"Democratic"
"01607",45152,8351,"Democratic"
"01608",19418,3888,"Democratic"
"01609",40660,22421,"Democratic"
"01610",30532,23945,"Democratic"
"01611",67179,2242,"Democratic"
"01612",106708,4845,"Democratic"
"01701",86994,31217,"Democratic"
"01702",53944,37206,"Democratic"
"01718",132981,469,"Democratic"
"01719",101502,4996,"Democratic"
"01720",109578,21361,"Democratic"
"01721",93233,16593,"Democratic"
"01730",108818,13221,"Democratic"
"01731",75446,1396,"Democratic"
"01740",146029,4897,"Democratic"
"01741",160034,4852,"Democratic"
"01742",135217,17726,"Democratic"
"01745",57250,397,"Democratic"
"01746",110323,13547,"Democratic"
"01747",89408,5911,"Democratic"
"01748",129578,14925,"Democratic"
"01749",71971,19063,"Democratic"
"01752",70304,38499,"Democratic"
"01754",77622,10106,"Democratic"
"01756",105389,5839,"Democratic"
"01757",66547,28061,"Democratic"
"01760",95328,32786,"Democratic"
"01770",153444,4119,"Democratic"
"01772",150129,9370,"Democratic"
"01773",149539,5112,"Democratic"
"01775",115714,6590,"Democratic"
"01776",170924,17659,"Democratic"
"01778",130022,13109,"Democratic"
"01801",75138,38903,"Democratic"
"01803",94272,24487,"Democratic"
"01810",112681,33201,"Democratic"
"01821",87996,30310,"Democratic"
"01824",104538,24911,"Democratic"
"01826",78169,29422,"Democratic"
"01827",119022,3179,"Democratic"
"01830",55255,25137,"Democratic"
"01832",57833,22060,"Democratic"
"01833",107775,8183,"Democratic"
"01834",97463,6459,"Democratic"
"01835",72228,13682,"Democratic"
"01840",18261,4733,"Democratic"
"01841",31214,47225,"Democratic"
"01843",42891,24425,"Democratic"
"01844",67556,47249,"Democratic"
"01845",96002,28352,"Democratic"
"01850",51538,15237,"Democratic"
"01851",51630,30190,"Democratic"
"01852",48951,33508,"Democratic"
"01854",42947,27606,"Democratic"
"01860",79423,6338,"Democratic"
"01862",85497,10227,"Democratic"
"01863",81160,8891,"Democratic"
"01864",110852,14892,"Democratic"
"01867",105524,23956,"Democratic"
"01876",90897,28667,"Democratic"
"01879",90987,11305,"Democratic"
"01880",84556,24733,"Democratic"
"01886",124464,21951,"Democratic"
"01887",99508,22325,"Democratic"
"01890",131000,21382,"Democratic"
"01901",23467,1689,"Democratic"
"01902",37275,45139,"Democratic"
"01904",80903,18203,"Democratic"
"01905",42490,25251,"Democratic"
"01906",76339,26660,"Democratic"
"01907",92399,14027,"Democratic"
"01908",66964,3410,"Democratic"
"01913",78486,16283,"Democratic"
"01915",70563,39502,"Democratic"
"01921",125833,7961,"Democratic"
"01922",109301,3108,"Democratic"
"01923",79478,26342,"Democratic"
"01929",74211,3504,"Democratic"
"01930",61449,28789,"Democratic"
"01937",NA,151,"Democratic"
"01938",77087,13175,"Democratic"
"01940",106239,12108,"Democratic"
"01944",115650,5136,"Democratic"
"01945",98399,19808,"Democratic"
"01949",104245,8987,"Democratic"
"01950",78638,17416,"Democratic"
"01951",81106,3558,"Democratic"
"01952",72131,8283,"Democratic"
"01960",64430,50944,"Democratic"
"01966",66402,6952,"Democratic"
"01969",83237,5856,"Democratic"
"01970",55698,41109,"Democratic"
"01982",105865,7764,"Democratic"
"01983",111696,6089,"Democratic"
"01984",127606,4875,"Democratic"
"01985",111652,4235,"Democratic"
"02019",80179,16332,"Democratic"
"02021",89900,21561,"Democratic"
"02025",117829,7542,"Democratic"
"02026",84704,24711,"Democratic"
"02030",187829,5589,"Democratic"
"02032",77955,4226,"Democratic"
"02035",91601,16865,"Democratic"
"02038",99194,31635,"Democratic"
"02043",106854,22157,"Democratic"
"02045",75551,10293,"Democratic"
"02047",NA,180,"Democratic"
"02048",93539,23184,"Democratic"
"02050",91764,25429,"Democratic"
"02052",133931,12024,"Democratic"
"02053",106132,12752,"Democratic"
"02054",91341,7891,"Democratic"
"02056",134104,10981,"Democratic"
"02061",113944,10506,"Democratic"
"02062",75957,28602,"Democratic"
"02066",100833,17656,"Democratic"
"02067",125313,17486,"Democratic"
"02071",97813,1707,"Democratic"
"02072",74262,26999,"Democratic"
"02081",93416,18472,"Democratic"
"02090",128984,14636,"Democratic"
"02093",100574,10955,"Democratic"
"02108",96921,3825,"Democratic"
"02109",119196,3771,"Democratic"
"02110",111250,1733,"Democratic"
"02111",43551,7383,"Democratic"
"02113",66636,6915,"Democratic"
"02114",80500,11999,"Democratic"
"02115",27134,28441,"Democratic"
"02116",87653,20628,"Democratic"
"02118",54152,26498,"Democratic"
"02119",27180,25346,"Democratic"
"02120",35077,15181,"Democratic"
"02121",28238,25978,"Democratic"
"02122",50192,23479,"Democratic"
"02124",48841,47783,"Democratic"
"02125",45130,33295,"Democratic"
"02126",45238,25562,"Democratic"
"02127",68724,31799,"Democratic"
"02128",48704,40508,"Democratic"
"02129",86346,16439,"Democratic"
"02130",75730,35401,"Democratic"
"02131",66735,29826,"Democratic"
"02132",83360,25861,"Democratic"
"02134",37820,21503,"Democratic"
"02135",48687,42780,"Democratic"
"02136",58890,28488,"Democratic"
"02138",75446,36314,"Democratic"
"02139",71745,36349,"Democratic"
"02140",71908,17607,"Democratic"
"02141",64326,11910,"Democratic"
"02142",100114,3141,"Democratic"
"02143",68440,24514,"Democratic"
"02144",78380,23891,"Democratic"
"02145",55487,25439,"Democratic"
"02148",53798,59503,"Democratic"
"02149",49368,41550,"Democratic"
"02150",47291,35124,"Democratic"
"02151",51863,51808,"Democratic"
"02152",64548,17497,"Democratic"
"02155",73567,57964,"Democratic"
"02163",43989,2582,"Democratic"
"02169",58669,55055,"Democratic"
"02170",66917,19505,"Democratic"
"02171",64812,17711,"Democratic"
"02176",85704,26983,"Democratic"
"02180",76127,21437,"Democratic"
"02184",81844,35744,"Democratic"
"02186",111071,27003,"Democratic"
"02188",68366,14608,"Democratic"
"02189",60059,14559,"Democratic"
"02190",77329,16119,"Democratic"
"02191",65365,8457,"Democratic"
"02199",109716,1146,"Democratic"
"02203",NA,0,"Democratic"
"02210",110333,2090,"Democratic"
"02215",35659,26125,"Democratic"
"02301",44144,61025,"Democratic"
"02302",61060,32741,"Democratic"
"02322",73194,4356,"Democratic"
"02324",87015,26563,"Democratic"
"02330",72161,11509,"Democratic"
"02332",118272,15059,"Democratic"
"02333",85912,13794,"Democratic"
"02338",67760,7518,"Democratic"
"02339",99250,13879,"Democratic"
"02341",92560,10218,"Democratic"
"02343",62292,10745,"Democratic"
"02346",77607,23106,"Democratic"
"02347",87900,10612,"Democratic"
"02351",78395,16029,"Democratic"
"02356",100429,12564,"Democratic"
"02357",NA,1360,"Democratic"
"02359",86887,17828,"Democratic"
"02360",76565,56271,"Democratic"
"02364",82661,12629,"Democratic"
"02366",NA,197,"Democratic"
"02367",93563,2820,"Democratic"
"02368",62152,32158,"Democratic"
"02370",66329,17489,"Democratic"
"02375",86689,9188,"Democratic"
"02379",80347,6916,"Democratic"
"02382",72462,14489,"Democratic"
"02420",147924,14052,"Democratic"
"02421",136250,17342,"Democratic"
"02445",102087,20679,"Democratic"
"02446",78814,29311,"Democratic"
"02451",81334,17426,"Democratic"
"02452",78349,14238,"Democratic"
"02453",67382,28968,"Democratic"
"02457",NA,1432,"Democratic"
"02458",95216,12131,"Democratic"
"02459",133801,19095,"Democratic"
"02460",102276,8742,"Democratic"
"02461",122283,7059,"Democratic"
"02462",83438,1554,"Democratic"
"02464",81771,2953,"Democratic"
"02465",139763,11710,"Democratic"
"02466",105893,8096,"Democratic"
"02467",115493,22491,"Democratic"
"02468",201731,5273,"Democratic"
"02472",87775,32014,"Democratic"
"02474",87225,26312,"Democratic"
"02476",95305,16532,"Democratic"
"02478",110633,24664,"Democratic"
"02481",180607,16244,"Democratic"
"02482",135089,10306,"Democratic"
"02492",137839,19931,"Democratic"
"02493",192563,11261,"Democratic"
"02494",104543,8955,"Democratic"
"02532",59250,12690,"Democratic"
"02534",96053,842,"Democratic"
"02535",67500,1177,"Democratic"
"02536",61063,19583,"Democratic"
"02537",79180,6293,"Democratic"
"02538",48402,3603,"Democratic"
"02539",66711,4067,"Democratic"
